Price,Number of bedrooms,Square footage
$1750,3,2000
$3700,1,
$3600,2,800
$2450,2,1300
$1800,1,675
$1700,1,
$2400,2,769
$3400,4,
$2400,1,550
$1900,1,550
$1300,2,
$1290,1,750
$2350,2,750
$1900,1,
$2250,2,850
$2250,1,799
$1000,,450
$3400,5,3000
$1600,1,
$830,1,
$2700,4,2800
$2200,3,
$2200,2,850
$1950,2,950
$1950,2,1000
$1950,4,1450
$1800,1,630
$2900,2,
$1630,1,500
$2200,3,
$1499,1,700
$1700,2,
$2200,2,
$2200,2,850
$1800,1,650
$1780,1,550
$1750,1,650
$1750,1,650
$1750,1,750
$1400,1,
$1900,1,550
$1900,1,
$3795,1,770
$3495,1,700
$4000,2,951
$1799,1,600
$2375,,483
$2500,1,
$2400,1,
$2200,2,1040
$2400,1,
$2350,2,890
$3700,2,
$2380,4,2050
$595,4,2050
$2200,1,
$2300,1,
$2050,1,
$850,1,
$1000,1,
$1200,1,
$1850,4,
$3495,1,680
$2500,2,1190
$2500,2,1050
$2300,2,850
$2600,3,2300
$2650,3,1050
$2100,2,1100
$1895,1,
$2050,1,
$5795,2,1700
$11995,5,3500
$3595,4,2200
$2050,1,550
$3500,2,1480
$2095,,450
$4500,2,1480
$1860,1,750
$1900,2,1100
$1900,3,1650
$1895,,600
$2950,2,1200
$4850,2,900
$3295,2,782
$1895,,450
$2095,2,1750
$2295,1,780
$2495,1,600
$3095,2,650
$7495,,2836
$5995,2,1400
$3595,2,1400
$2195,1,650
$3295,2,1200
$2495,1,600
$3395,3,1200
$3595,1,780
$3595,4,3200
$3995,3,2000
$1795,1,580
$3995,,740
$2995,3,1600
$3695,1,650
$3000,2,
$4995,2,1000
$2595,1,800
$2595,1,680
$2595,1,800
$2250,1,
$4100,2,
$2350,1,
$4750,2,
$1500,1,
$2200,2,1000
$2200,2,950
$2200,2,1080
$1850,2,950
$2600,2,1200
$2000,3,
$1350,1,1200
$1290,1,750
$1800,1,650
$1750,1,650
$650,1,
$1500,5,2900
$3300,,1450
$680,,1450
$3200,2,
$2100,1,650
$2600,3,
$1450,3,
$1250,1,670
$750,1,670
$1800,1,550
$780,1,
$1750,1,609
$2200,2,
$800,1,
$800,1,
$650,1,
$600,1,
$500,1,
$800,1,
$2000,2,800
$800,1,
$800,1,
$1799,1,600
$780,1,
$780,1,
$770,1,
$770,1,
$700,1,
$700,1,
$750,1,
$750,1,
$800,1,650
$800,1,650
$2095,1,600
$2050,1,
$900,1,650
$1950,2,980
$2250,1,
$2300,1,
$3990,2,1100
$2400,1,
$999,1,
$1250,2,
$1600,2,
$1100,1,
$1000,1,
$3500,2,
$2000,2,1000
$1250,2,
$850,1,
$1980,1,
$1000,1,
$2899,2,
$2600,1,
$2600,2,
$2500,2,
$2400,2,
$2250,3,
$2200,1,
$2000,1,584
$2200,2,
$1950,1,
$1500,1,
$1650,1,
$1900,1,
$1900,1,
$2150,1,
$1800,2,
$1400,2,
$2700,2,
$2300,2,
$2300,1,
$1975,1,
$2175,2,1160
$2300,2,1100
$2300,2,840
$1950,3,
$2150,2,850
$2100,3,1450
$2100,1,600
$2080,4,1850
$1850,1,
$2350,1,
$2580,2,999
$2150,4,2062
$2900,2,
$2100,2,
$2150,3,2000
$2200,3,
$2350,4,2200
$2500,4,
$2600,3,2500
$2700,4,
$2850,3,3100
$2300,1,
$3000,2,899
$3250,2,
$3000,2,
$1700,,415
$1750,,415
$1900,3,
$2000,2,
$1950,1,550
$2600,2,
$2400,2,
$2200,2,1080
$1900,1,
$1850,1,
$2650,2,850
$2600,2,850
$1980,1,750
$1975,1,550
$2200,1,
$2350,2,650
$2995,2,650
$2300,2,
$1950,2,
$2000,4,1450
$1750,1,
$2000,2,850
$2000,3,1650
$1995,2,950
$1950,4,1650
$2100,2,
$2300,1,
$1550,1,
$1895,1,
$1850,1,
$2250,2,
$1000,2,
$2900,2,780
$2100,4,2500
$2495,2,750
$1750,,460
$3400,2,1250
$3500,3,1280
$3000,2,850
$1900,1,
$2000,1,
$3300,3,1500
$2850,3,
$3100,1,780
$6000,3,2050
$2980,2,750
$2600,2,750
$2200,2,
$2800,2,780
$2250,,630
$950,1,900
$2700,2,750
$2800,2,650
$2400,2,735
$2200,1,
$3800,2,930
$2750,2,830
$2099,1,
$1890,1,
$2800,2,750
$3500,4,
$3200,2,
$2800,2,
$1650,2,
$2100,1,600
$2900,2,
$2500,2,
$3200,3,
$2700,3,
$1950,1,
$2580,2,
$4998,4,
$1150,1,
$2500,2,
$2800,2,850
$4500,5,2600
$2400,2,
$2000,1,550
$2200,1,
$2800,2,750
$4200,2,
$2150,2,
$3600,2,1150
$3500,4,
$3750,2,1300
$2000,2,
$2600,2,
$2750,2,850
$2800,2,
$2100,1,
$3000,2,1140
$2500,1,900
$2200,1,605
$2100,1,600
$2600,2,
$2800,3,
$950,3,
$1700,3,
$1850,1,
$2150,1,600
$2850,2,
$2975,2,1050
$2550,2,
$3050,3,
$2750,2,
$2400,1,
$2300,3,
$2950,2,850
$2800,2,850
$2950,2,850
$2200,1,673
$2700,2,950
$1850,1,415
$3000,2,1000
$1700,1,550
$2800,2,850
$2600,2,950
$3000,2,1300
$2800,2,950
$2700,2,850
$3400,3,1050
$2850,2,750
$1900,1,
$7000,3,2200
$1850,1,550
$2600,2,1100
$1700,,400
$2400,2,850
$2400,2,850
$850,1,
$2400,2,650
$1350,2,650
$2600,2,
$2200,2,1080
$2175,2,1160
$2300,2,1100
$2300,2,840
$2400,2,650
$2300,2,650
$8500,2,1500
$2250,2,550
$2150,2,850
$2100,3,1450
$3500,3,1100
$2100,1,600
$2080,4,1850
$2000,1,550
$1800,3,1100
$2000,3,
$3950,2,1300
$2990,4,
$2250,3,
$1850,1,593
$2700,4,
$2800,4,
$2050,1,
$2395,5,
$3700,2,950
$2000,4,1450
$3000,2,
$2000,2,850
$3100,2,
$2000,3,1650
$1995,2,950
$2400,2,
$1950,4,1650
$2350,3,
$3950,4,
$2950,2,1100
$2450,1,
$2800,2,850
$3900,2,1700
$2800,2,850
$1450,1,410
$2350,1,750
$2550,2,925
$3000,1,700
$2250,1,750
$2350,1,650
$1800,2,
$3999,3,
$3900,3,
$3999,3,
$2200,1,550
$2250,1,
$3500,2,
$1800,1,
$3450,2,850
$1199,1,550
$3500,3,
$3500,2,750
$1450,,410
$1799,1,600
$3250,2,
$1800,2,
$1950,1,850
$1550,1,590
$2050,3,2200
$2500,3,
$2890,3,
$2600,4,
$2399,4,
$2350,3,
$2200,2,
$3400,3,
$2100,1,
$3750,2,
$3150,2,
$2850,2,850
$2890,2,950
$2000,1,650
$2500,2,950
$3000,2,1300
$3200,3,1900
$2975,2,1100
$1800,,415
$2850,2,750
$2800,2,950
$1150,2,
$1995,1,600
$1200,1,
$2150,1,600
$3277,3,2200
$3277,3,2200
$2750,2,950
$1950,1,550
$1900,1,550
$1850,1,550
$2900,2,750
$2100,3,
$1975,1,
$1700,3,
$1350,2,1000
$1060,2,
$1400,2,
$925,1,
$2500,2,650
$1800,1,550
$1690,,415
$1650,,415
$1950,1,550
$1500,3,
$2375,2,750
$2250,2,550
$2000,1,650
$2550,2,650
$1850,,415
$1250,1,
$3190,2,1100
$6950,3,2600
$1850,1,415
$2650,3,750
$2050,1,650
$2000,1,650
$2050,1,550
$2050,1,750
$1750,2,610
$2995,3,1600
$2595,1,800
$2200,1,
$2177,2,850
$2477,2,1100
$2200,2,
$1900,1,
$1750,,450
$1050,1,
$2250,2,650
$2000,1,650
$1995,1,550
$1995,1,550
$1900,1,650
$2600,3,
$1650,3,
$2500,2,1050
$4995,2,1300
$2300,1,
$2150,1,600
$3200,2,
$1900,1,415
$1875,1,415
$1850,1,550
$2550,2,650
$2975,3,1100
$4000,2,950
$2600,2,945
$3500,2,1300
$3150,3,1300
$2500,1,950
$2495,1,
$3195,2,
$1895,1,550
$1800,,415
$1950,1,550
$1850,1,415
$2400,2,650
$4500,1,2200
$2000,1,550
$2,,850
$4500,1,2200
$3500,3,
$1650,1,
$1,1,800
$2600,2,850
$2495,2,670
$2400,2,750
$1800,1,415
$1895,1,415
$2200,1,
$2200,2,745
$1600,2,750
$2400,1,
$1900,3,
$2200,1,
$2200,1,
$2300,1,
$3600,3,3000
$2100,3,
$2400,1,600
$1899,1,634
$2350,1,
$2000,1,
$2950,3,1200
$1100,2,445
$1800,1,
$2350,1,650
$1040,1,
$2100,1,
$2300,3,1825
$1850,1,550
$4995,2,
$1895,1,1000
$1850,1,400
$4000,2,
$4400,2,1300
$2300,2,
$2500,2,950
$2200,1,
$2000,2,1199
$1975,1,550
$1950,1,415
$2750,1,
$1950,1,650
$1950,1,415
$1950,1,415
$1450,1,
$2200,2,
$2300,3,1000
$1700,2,
$2100,1,
$1950,1,550
$1900,1,550
$2700,2,650
$1900,1,550
$2000,1,550
$2000,1,
$1900,1,
$12000,4,3000
$1900,1,
$1900,1,
$1800,2,
$1650,1,535
$2200,1,800
$2100,3,
$3100,1,780
$3450,2,860
$1830,1,580
$2750,1,
$2700,2,
$2500,1,650
$2300,1,
$9500,5,2125
$2250,1,
$1550,1,675
$1150,1,675
$1275,1,
$2000,1,650
$2600,2,
$2600,1,
$1850,1,488
$2200,1,
$2350,1,
$2180,1,
$2500,2,
$4995,2,1200
$3490,3,
$5000,3,
$3000,2,950
$2300,1,
$2200,1,799
$2150,1,599
$2280,4,
$2000,1,
$2150,1,
$2100,1,599
$1100,,1180
$2650,1,405
$1100,2,
$3400,2,950
$1200,2,1200
$1200,2,1280
$1200,2,1200
$900,1,
$1100,2,1100
$2000,1,
$2150,1,
$1800,1,
$1850,1,475
$2050,1,
$1900,1,430
$2075,1,545
$2050,1,
$2050,1,599
$4450,2,1233
$2350,2,730
$1500,1,
$6500,2,1800
$1980,1,499
$1990,2,800
$2950,2,950
$1900,1,
$2200,4,
$1900,2,
$2250,1,
$1975,1,599
$1900,1,
$1700,2,900
$1400,1,600
$1400,1,600
$1700,2,900
$1950,1,599
$1700,2,700
$1400,1,
$4990,3,2140
$1700,2,700
$1400,1,
$1700,2,700
$1700,2,900
$1,2,900
$1950,1,499
$4250,3,1100
$10000,3,1000
$2300,1,
$1950,1,499
$1900,1,
$1900,2,600
$1900,1,573
$2150,2,800
$1900,1,555
$3100,2,900
$3200,1,900
$3400,2,1000
$3200,2,900
$1900,1,699
$3150,2,
$1900,1,
$1900,1,
$156,2,1000
$1875,1,600
$2600,1,670
$5980,3,2250
$2400,1,
$3700,2,1001
$3180,2,1102
$1350,1,
$1900,1,499
$1700,1,499
$1499,2,
$1900,1,599
$1400,3,
$1499,2,
$2800,2,
$1499,2,
$2080,1,600
$1675,2,
$1750,2,
$1350,1,
$1499,2,
$1450,2,
$2000,3,
$2400,1,600
$2500,1,600
$2080,1,600
$1990,4,
$3500,2,
$2150,1,
$1900,3,
$1545,1,500
$2395,2,750
$2200,1,
$1900,1,
$1385,1,
$6500,2,1900
$5000,3,
$5500,5,2250
$6300,4,
$2500,4,
$1980,1,
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
